bin,n,stake,avg_price,win_rate,edge_cents,roi_if_held,pnl_implied
"[0.0, 0.05)",76888,1328318.7159017723,0.028666411985014174,0.03647833433120475,0.7811922346190578,0.2725113401103141,361981.9133640035
"[0.05, 0.1)",140099,3942216.9793724366,0.0733199210614873,0.09994698762837005,2.6627066566882753,0.3631627827934083,1431666.4886043184
"[0.1, 0.15)",192228,7594421.508409104,0.12728842259439727,0.1414140434101127,1.4125620815715445,0.11097333542050825,842778.2853774057
"[0.15, 0.2)",168424,7868951.682694695,0.17621022700656033,0.19885125032504442,2.264102331848408,0.12848870183704575,1011071.3865278781
"[0.2, 0.25)",240777,13641359.834530002,0.2211042622491522,0.22708527246985333,0.5981010220701133,0.02705063285465492,369007.41652210726
"[0.25, 0.3)",319138,22336103.94325411,0.27734223648432466,0.28686370193329996,0.9521465448975308,0.03433110502631087,766823.1303544532
"[0.3, 0.35)",289455,26251367.96868985,0.3308273544208171,0.36669636874515604,3.5869014324338924,0.1084221538667356,2846229.8571135853
"[0.35, 0.4)",261830,26908543.87372425,0.37550280234303596,0.3982710899995004,2.2768287656464437,0.060634135123350585,1631576.2852120036
"[0.4, 0.45)",363084,43670208.64578937,0.4217391182293778,0.4180157430014607,-0.3723375227917103,-0.00882862192994871,-385547.7617356518
"[0.45, 0.5)",425930,55044579.94423956,0.4709763730067742,0.5004124755912454,2.9436102584471158,0.06250016831321559,3440295.511245223
"[0.5, 0.55)",424854,61932321.06126223,0.519567591108802,0.5247810419676256,0.5213450858823632,0.010034211040179875,621441.979736882
"[0.55, 0.6)",428762,71565337.52036436,0.574743305551338,0.5823253286421928,0.7582023090854761,0.013192016362124415,944091.1035296029
"[0.6, 0.65)",249530,45225996.695578925,0.6254293353153035,0.6370887528528285,1.1659417537524974,0.018642262009739285,843114.8800505855
"[0.65, 0.7)",340301,68873018.61383373,0.6758342090863307,0.6757128662405787,-0.012134284575204823,-0.00017954528510188972,-12365.825762848533
"[0.7, 0.75)",237348,50342342.03908664,0.7252270509207559,0.7356859300067121,1.0458879085956219,0.014421523676864334,726013.2776654908
"[0.75, 0.8)",264613,62057246.88709463,0.7705542775425808,0.7966122297624876,2.605795221990681,0.03381715341716052,2098599.438627486
"[0.8, 0.85)",278625,78381336.19814815,0.8257403708852399,0.8478749541315995,2.213458324635964,0.026805741885467027,2101069.8667655727
"[0.85, 0.9)",187662,62550265.633373335,0.8760972246764883,0.8897173115663791,1.3620086889890803,0.01554631895440628,972426.3802192596
"[0.9, 0.95)",229346,97699997.3586987,0.924375207715133,0.9244974788774548,0.012227116232177426,0.00013227438522944723,12923.207087540488
"[0.95, 1.0)",222498,128043396.4432259,0.9789671604944451,0.9841075050694915,0.5140344575046418,0.005250783460857056,672328.1483160538
