size_decile,n,stake,avg_price,win_rate,edge_cents,roi,implied_pnl
9,534139,772741022.8141247,0.7089218282205918,0.720376861747171,1.1455033526579173,0.016158387385717177,12486248.795465942
8,533676,88777397.64275394,0.5980769812855683,0.6085630359724574,1.0486054686889124,0.01753295146780154,1556529.8043081237
7,534603,35934832.28286777,0.5809161548668257,0.59106917207652,1.0153017209694304,0.01747759487257139,628054.4404537625
6,533469,17274953.368744772,0.568907999342068,0.5779889521887702,0.9080952846702184,0.015962076218306143,275744.12233958853
5,534736,9308134.136279942,0.5643548239053985,0.5730510334757618,0.8696209570363322,0.015409117105059211,143430.1289355368
4,534212,5240976.570363963,0.5491095035760575,0.5586353434727003,0.9525839896642796,0.01734779644971729,90919.39474041146
3,532438,3033623.2929721787,0.5322026470299022,0.5420915998068695,0.988895277696733,0.018581179240943824,56368.29815621829
2,532236,1752728.510205096,0.4843042115025912,0.4942725016691072,0.9968290166516014,0.02058270386620964,36075.89188341429
1,534605,910118.8840769164,0.40440094958547573,0.4128111725911519,0.8410223005676176,0.020796743959916375,18927.509405232442
0,537278,283544.0448824516,0.36328814505474094,0.3691539241725032,0.586577911776226,0.016146354340514923,4578.202619814931
