token_id,rest_local_receive_time,session_id,rest_best_bid,stream_best_bid,rest_best_ask,stream_best_ask,time_gap_ms,best_bid_equal,best_ask_equal,full_depth_equal,rest_hash,result,notes
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:03:44.827263+00:00,,0.5,,0.51,,,,,,f461f26b3aa075f04a3efefeca356336e7f5c74c,NO_COMPARABLE_STREAM_STATE,REST observed outside any open session window
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:03:44.927295+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.999,,,,,,,,163bbb25464c50bb5a13498046fdb2abf408e1c4,NO_PRIOR_STREAM_STATE,
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:03:45.021819+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.999,0.999,,,22.4,True,True,True,a904db15a6b6815123f040d51dac451fddc113c8,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:03:45.118608+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.28,0.28,0.29,0.29,119.2,True,True,True,33053abef4f68c1b3151a2c60b00068ff2ebdaef,MATCH,
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:04:00.227939+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.5,0.5,0.51,0.51,15228.5,True,True,True,f461f26b3aa075f04a3efefeca356336e7f5c74c,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:04:00.324115+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.999,0.999,,,13501.1,True,True,True,0d357408fc694b673305dc4858cda8e9065aa414,MATCH,
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:04:00.418999+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.999,0.999,,,7188.1,True,True,True,77cab3838b443dae055c6ef7da5a38bf186a338c,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:04:00.515378+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.27,0.27,0.28,0.28,6.1,True,True,True,9962831521434455003b2a5f4bb63d843bcc18d0,MATCH,
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:04:15.625946+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.5,0.5,0.51,0.51,2754.3,True,True,True,bbda3d458eb86d550c489b42a922a7b7b44ee61f,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:04:15.727931+00:00,54a22659-e1cc-4a2c-9f70-94442522c79c,0.999,0.999,,,5341.6,True,True,True,4cc7b911ed25a26336ce6d1b1dfeb66438a389e7,MATCH,
